Service,Case,Description,Policy Link,Policy_type,Policy_name
Yubico,You waive your right to a class action.,"Further, unless both you and Yubico otherwise agree in writing, the arbitrator may not consolidate more than one person’s claims and may not otherwise preside over any form of any class or representative proceeding.
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Yubico,Your personal data is used for limited purposes,"We may process your personal data in relation to the performance of this Agreement.
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Roll20,"Other applicable rules, terms, conditions or guidelines","Your communications, activities, relationships and business dealings with any third parties advertising or promoting via Roll20, including payment and delivery of related goods or services, and any other terms, conditions, warranties or representations associated with such dealings, shall be solely matters between you and such third parties.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,"Other applicable rules, terms, conditions or guidelines","The export and re-export of Orr Group Software are controlled by the United States Export Administration Regulations, and such Software may not be exported or re-exported to Cuba, Iran, Libya, North Korea, Sudan, Syria, or any country to which the United States embargoes goods.
In addition, the Software may not be distributed to persons on the Table of Denial Orders, the Entity List, or the List of Specially Designated Nationals.
</p>
<p>By downloading Software, you are certifying that you are not a national of Cuba, Iran, Libya, North Korea, Sudan, Syria or any country to which the United States embargoes goods, and that you are not a person on the Table of Denial Orders, the Entity List, or the List of Specially Designated Nationals.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,Specific content can be deleted without reason and may be removed without prior notice,"Orr Group does not pre-screen user materials that users provide or otherwise submit via Roll20.
however, Orr Group may remove any posted or submitted user materials from Roll20 for any reason without notice in its sole discretion.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,"We might give access to US authorities if requested in writing.
We’ll try not to, but we don’t have the resources to fight the government.
We’ll also keep the account owner informed as much as we can if this happens.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service","Reliability Do you guarantee that Roll20 will be accessible at all times? <p>In short, we do not.
Like all other cloud-based applications, we are vulnerable to the inherent unreliability of the Internet.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,This service assumes no liability for any losses or damages resulting from any matter relating to the service,"You acknowledge and agree that Orr Group shall not be liable for any failure to store or retrieve your materials on Roll20 at any time.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,This service assumes no responsibility and liability for the contents of links to other websites,"You further acknowledge and agree that Orr Group is not responsible for any form of transmission (e.g.
webcasting) received from any linked site.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,User accounts can be terminated after having been in breach of the terms of service repeatedly,"Breach of Terms <p>If you breach any of the terms and conditions in this document, your authorization to access or use Roll20 automatically terminates.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,You are free to choose the type of copyright license that you want to use over your content,"Any assets that you upload to the Roll20 Marketplace will also be made public under the license that you select when the asset is submitted.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,You are prohibited from attempting to gain unauthorized access to other computer systems,"Use or attempt to gain access to or use another’s user or company account, password, data, or computer systems or networks connected to any Roll20 server, whether through hacking, password mining or any other means.
</li>
<li> Access or attempt to access any material that you are not authorized to access.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages","Engage in any chain letters, contests, junk e-mail, pyramid schemes, spamming, surveys or any other duplicative or unsolicited messages (commercial or otherwise).
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,You are responsible for maintaining the security of your account and for the activities on your account,"It is your sole responsibility to keep your email, password and other sensitive information confidential.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,You maintain ownership of your content,"<p>Content that you upload to the Roll20 Marketplace remains the IP of the original creator, and becomes subject to the additional terms found in the Marketplace End User Licese Agreement (EULA).
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,You shall not interfere with another person's enjoyment of the service,"Disrupt, interfere or inhibit any other user from using and enjoying the Roll20 service or other affiliated or linked sites, materials or services
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Roll20,Your account can be deleted without prior notice and without a reason,"Restriction and Termination of Use <p>Orr Group may block, restrict, disable, suspend or terminate your access to all or part of Roll20 at any time in Orr Group’s sole discretion, without prior notice or liability to you.
        
Who owns Orr Group materials?",Who owns Orr Group materials?,4,Unknown Policy
Facebook,This service tracks you on other websites,"For example, when you go to a website with a <b>Like</b> button, we need to know who you are in order to show you what your Facebook friends have liked on that site.
The data we receive includes your user ID, the website you're visiting, the date and time and other browser-related info.If you’re logged out or don’t have a Facebook account and visit a website with the <b>Like</b> button or another social plugin, your browser sends us a more limited set of info.
For example, because you’re not logged into Facebook, you’ll have fewer cookies than someone who's logged in.
Like other sites on the Internet, we receive info about the web page you're visiting, the date and time and other browser-related info.
We record this info to help us improve our products.
As our Data Policy indicates, we use cookies to show you ads on and off Facebook.
We may also use the info we receive when you visit a site with social plugins to help us show you more interesting and useful ads.
        
What information does Facebook get when I visit a site with the Like button?",What information does Facebook get when I visit a site with the Like button?,4,Unknown Policy
CCleaner,Blocking first party cookies may limit your ability to use the service,"Furthermore, if you disable cookies, our websites may not function properly or your access to our websites and their features may be affected or restricted.
        
What Happens to Your Data",What Happens to Your Data,3,Data Policy
CCleaner,Information is gathered about you through third parties,"The personal data we collect may come directly from you or we may obtain it from other sources, such as our service providers and resellers.
        
What Happens to Your Data",What Happens to Your Data,3,Data Policy
CCleaner,The service informs you that its privacy policy does not apply to third party websites,"You can find more information in each network’s privacy policy, the link to which we are also including in the overview below.
        
What Happens to Your Data",What Happens to Your Data,3,Data Policy
CCleaner,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting","<p>We use common information-gathering tools, such as cookies, pixel tags and Web beacons, to collect information about your general internet usage.
        
What Happens to Your Data",What Happens to Your Data,3,Data Policy
CCleaner,Your personal data is aggregated into statistics,"These technologies are used in analyzing trends, administering the site, tracking your movements around the site and to gather demographic information about our user base as a whole.

        
What Happens to Your Data",What Happens to Your Data,3,Data Policy
CCleaner,Your personal data is used for advertising,"We collect your IP Address to provision your product or service.
We also use the IP Address with mobile products to serve ads.
        
What Happens to Your Data",What Happens to Your Data,3,Data Policy
CCleaner,Your personal data is used to employ targeted third-party advertising,"</p>
<p>We may partner with a third party either to display advertising on our site or to manage our advertising on this site and other sites.
Our third party partner may use technologies such as cookies to gather information about your activities on this site and other sites in order to provide you advertising based upon your browsing activities and interests.
        
What Happens to Your Data",What Happens to Your Data,3,Data Policy
Firefox Cloud Services,The service deletes tracking data after a period of time and allows you to opt out,"You can control individual cookie preferences, indicate your cookie preferences to others, and opt-out of web analytics and optimization tools.
        
Websites, Communications & Cookies Privacy Notice","Websites, Communications & Cookies Privacy Notice",1,Privacy Policy
Firefox Cloud Services,"Third party cookies are employed, but with opt out instructions","Follow the instructions below to prevent data collection about your visits to Mozilla websites:</p>
<ul>

Websites, Communications & Cookies Privacy Notice","Websites, Communications & Cookies Privacy Notice",1,Privacy Policy
Firefox Cloud Services,Third-party cookies are used for statistics,"Google Analytics, which places a cookie on your device, to obtain metrics on how users engage with our websites.
        
Websites, Communications & Cookies Privacy Notice","Websites, Communications & Cookies Privacy Notice",1,Privacy Policy
Firefox Cloud Services,This Service provides a list of Third Parties involved in its operation.,"We use:</p>

Websites, Communications & Cookies Privacy Notice","Websites, Communications & Cookies Privacy Notice",1,Privacy Policy
Firefox Cloud Services,You are informed about the risk of publishing personal info online,"Please minimize the personal information you choose to share on these forums because your comments may be accessible to the public.</p>

Websites, Communications & Cookies Privacy Notice","Websites, Communications & Cookies Privacy Notice",1,Privacy Policy
Firefox Cloud Services,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting","We may use cookies, clear GIFs, third party web analytics
        
Websites, Communications & Cookies Privacy Notice","Websites, Communications & Cookies Privacy Notice",1,Privacy Policy
Firefox Cloud Services,"You can request access, correction and/or deletion of your data","see here to manage account data
        
Websites, Communications & Cookies Privacy Notice","Websites, Communications & Cookies Privacy Notice",1,Privacy Policy
Firefox Cloud Services,Your browser's Do Not Track (DNT) headers are respected,"If you have configured your browser to send a “Do Not Track” signal when accessing our websites, Mozilla will not utilize any of the tools described in the Metrics section.
        
Websites, Communications & Cookies Privacy Notice","Websites, Communications & Cookies Privacy Notice",1,Privacy Policy
Cisco," Terms may be changed any time at their discretion, without notice to you ","We reserve the right to change these Terms from time to time at our sole discretion.
Please check this page periodically for any updates.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab," Terms may be changed any time at their discretion, without notice to you ","5.1.</strong> GitLab has the right to update all or any part of the Content, Website, and terms of this Agreement at any time without notice.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,"<p>If you or others violate these Terms and we take no immediate action, this in no way limits or waives our rights, such as our right to take action in the future or in similar situations.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,"<strong>10.2.</strong> The failure of either party to enforce at any time, or for any period of time, the provisions of this Agreement shall not be construed to be a waiver of such provisions or of the right of such party to enforce each and every such provision.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,"If you are the target of a copyright claim, your content may be removed","You cannot post, modify, distribute, or reproduce in any way copyrighted or other proprietary materials without obtaining the prior written consent of the copyright owner of such materials.
We may terminate an account and/or deny access to any user who is alleged to have infringed the copyright or proprietary rights of another.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,"Instead of asking directly, this Service will assume your consent merely from your usage.","Your continued use of the Website shall constitute agreement to any and all such updates.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,Instructions are provided on how to submit a copyright claim,"If you believe that your copyright or other rights have been infringed, please provide our Designated Agent written notice with the following information:
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,"<p>If any provision of these Terms is found to be invalid or unenforceable, that provision will be struck and the remaining provisions will remain in full effect.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,"10.1.</strong> If any provision of this Agreement is held by a court of competent jurisdiction to be invalid, void, or unenforceable, the remaining provisions shall nevertheless continue in full force without being impaired or invalidated in any way.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,No guarantee is given regarding quality,"CISCO DOES NOT GUARANTEE AND DOES NOT PROMISE ANY SPECIFIC RESULTS FROM USE OF THE SITE OR ANY RELATED SERVICES OR CONTENT.</p>
<p>ALL USE OF THIS SITE IS AT YOUR OWN RISK.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,"Other applicable rules, terms, conditions or guidelines","Cookie Policy
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,"Other applicable rules, terms, conditions or guidelines","<p>Cisco's Online Privacy Statement
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,Specific content can be deleted without reason and may be removed without prior notice,"reject or remove anything you post
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,"Spidering, crawling, or accessing the site through any automated means is not allowed","Disable, disrupt, circumvent, interfere with, or otherwise violate the security of the Site.</li>
<li>Attack, abuse, interfere with, intercept, disrupt, or exploit any users, systems, or services, regardless of how accomplished and notwithstanding anything to the contrary in these Terms, including but not limited to Denial of Service (DoS), monitoring, crawling, spamming, using bots or scripts, or distributing malware (such as viruses, Trojan horses, worms, spyware, or adware).
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,The copyright license that you grant this service is limited to the parties that make up the service's broader platform.,"perpetual, irrevocable license to use, modify, publicly perform, publicly display, reproduce, and distribute your User Content for the limited purpose of providing the Site and all related services.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,"<p>If there is any dispute relating to the Site or these Terms, you and Cisco agree to exclusive personal jurisdiction and venue in the state and federal courts of Santa Clara County, State of California, U.S.A.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
ADT,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,"Use of this Site shall be governed by all applicable Federal laws of the U.S.
and the laws of the State of Florida, without giving effect to its conflict of laws provisions.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,The court of law governing the terms is in location X,"These Terms are governed by the laws of the State of California, U.S.A., excluding any conflict of laws rules or principles.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,The court of law governing the terms is in location X,"10.4.</strong> This Agreement shall be construed and enforced in accordance with the laws of California, U.S.A., and the parties submit to the jurisdiction of the State and Federal courts in San Francisco, California, without giving effect to any conflicts of laws principles.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,The posting of pornographic content is prohibited,"<p>You also agree not to:</p>
<ul>
<li>Display, send, receive, or store obscene or inappropriate content.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,The service does not guarantee accuracy or reliability of the information provided,"Although we have attempted to provide accurate information on our Site, we assume no responsibility for the accuracy of the information.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,The service is provided 'as is' and to be used at your sole risk,"THIS SITE IS PROVIDED ""AS IS"" WITH ALL FAULTS AND WITHOUT WARRANTY OF ANY KIND, EITHER EXPRESSED OR IMPLIED.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,The service is provided 'as is' and to be used at your sole risk,"The Website is provided “AS IS
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service","Neither GitLab nor its suppliers or licensors, makes any warranty that the Website will be error free or that access thereto will be continuous or uninterrupted
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,There is a date of the last update of the agreements,"These terms were last updated on 09/07/2018 and are effective immediately.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,They may stop providing the service at any time,"cease to provide and maintain the Site, at any time, for any or no reason
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,They may stop providing the service at any time,"<strong>5.2.</strong> GitLab reserves the right at any time, and from time to time, to modify or discontinue, temporarily or permanently, the Website (or any part of it) with or without notice.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,This service assumes no liability for any losses or damages resulting from any matter relating to the service,"CISCO SHALL NOT BE LIABLE FOR ANY INDIRECT, SPECIAL, CONSEQUENTIAL, OR INCIDENTAL DAMAGES INCLUDING, WITHOUT LIMITATION, LOST PROFITS OR REVENUES, COSTS OF REPLACEMENT GOODS, OR LOSS OR DAMAGE TO DATA ARISING OUT OF THE USE OR INABILITY TO USE THIS SITE OR ANY RELATED SERVICES OR CONTENT, OR DAMAGES RESULTING FROM USE OF OR RELIANCE ON THE INFORMATION PRESENT, EVEN IF CISCO HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,This service assumes no responsibility and liability for the contents of links to other websites,"<p>Our Site contains links to third party sites.
We provide these links merely as a convenience and the inclusion of such links does not imply any endorsement of their content.
Access to any other site linked to this Site is at your own risk and we are not responsible for the accuracy or reliability of any information, data, opinions, advice, or statements made on such sites.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,This service does not condone any ideas contained in its user-generated contents,"We do not endorse or assume responsibility for user conduct or what users submit to our Site.
Nothing in these Terms requires us to monitor the Site or to modify or remove any materials or information.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,This service does not condone any ideas contained in its user-generated contents,"By operating the Website, GitLab does not represent or imply that it endorses the Content provided or that it believes such Content to be accurate, useful or non-harmful.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,"TO THE EXTENT PERMITTED BY LAW, CISCO DISCLAIMS ALL WARRANTIES, EXPRESSED OR IMPLIED, INCLUDING, WITHOUT LIMITATION, THOSE OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, AND NONINFRINGEMENT, OR THAT ARISE FROM A COURSE OF DEALING, USAGE, OR TRADE PRACTICE.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
HubSpot,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,"HUBSPOT AND ITS SERVICE PROVIDERS, LICENSORS AND SUPPLIERS HEREBY DISCLAIM ALL WARRANTIES AND CONDITIONS OF ANY KIND WITH REGARD TO THE SITE AND THE CONTENT, INCLUDING ALL IMPLIED WARRANTIES OR CONDITIONS OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE AND NON-INFRINGEMENT.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,This service is only available to users over a certain age,"THE WEBSITE IS AVAILABLE ONLY TO INDIVIDUALS WHO ARE AT LEAST 13 YEARS OLD
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,This service retains rights to your content even after you stop using your account,"may retain or delete any information or content that you provided
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,"You agree not to submit libelous, harassing or threatening content","<li>Threaten, harass,
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,You agree not to use the service for illegal purposes,"you must comply with all applicable laws
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,You agree not to use the service for illegal purposes,"<strong>3.2.</strong> By accepting this Agreement, you agree not to use, or facilitate others to use, the Website in a way that is harmful to others or overburdens or otherwise impairs the Website.
Examples of such use include, without limitation:</p>
<ul>
<li>
<p>Engaging in illegal or fraudulent activities;</p>
</li>
<li>
<p>Infringing a third party’s intellectual property rights;</p>
</li>
<li>
<p>Distributing harmful or offensive Content that is defamatory, obscene, abusive, an invasion of privacy or harassing;</p>
</li>
<li>
<p>The distribution of malicious/commercial spam.
or</p>
</li>
<li>
<p>Violating the security or integrity of any computer, network or communications system.</p>
</li>
<li>
<p>Using the Website to mine or demonstrate proof-of-work for a cryptocurrency or blockchain
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
ADT,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service","You agree to indemnify, defend and hold harmless ADT, its officers, directors, employees, agents, licensors, suppliers and any third party information providers to the Site against any and all losses, expenses, damages and costs, including reasonable attorneys’ fees, incurred in relation to, arising from, or for the purpose of avoiding, any claim or demand from a third party that your use of the Site violates the Terms, any applicable law or regulation, or the rights of any third party.<br>

Website Terms of Use",Website Terms of Use,0,Terms of Service
HubSpot,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service","You agree to indemnify, defend and hold harmless HubSpot, its parent companies, subsidiaries, affiliated companies, joint venturers, business partners, licensors, employees, agents, and any third-party information providers from and against all claims, losses, expenses, damages and costs (including, but not limited to, direct, incidental, consequential, exemplary and indirect damages), and reasonable attorneys' fees, resulting from or arising out of your use, misuse, or inability to use the Site or the Content, or any violation by you of these Terms of Use.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.","information you provide must be truthful and accurate
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,You are prohibited from attempting to gain unauthorized access to other computer systems,"<li>Access or use any application, system, service, tool, data, account, network, or content without authorization or for unintended purposes.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages","Distribute unwanted, unsolicited, or harassing mass email
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
GitLab,"You are responsible for any risks, damages, or losses that may incur by downloading materials","GitLab disclaims any responsibility for any harm resulting from the use by visitors of the Website, or from any downloading by those visitors of Content posted on the Website.

        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,You are responsible for maintaining the security of your account and for the activities on your account,"You are solely responsible for maintaining the confidentiality of your account, registration, and password information.
Cisco will not be liable for any harm caused by, or related to, the theft or misappropriation of your user name or password, disclosure of your user name or password, or your authorization of anyone else to use your user name or password.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,You cannot distribute or disclose your account to third parties,"User accounts, profiles, usernames, and passwords are associated with one individual only and you agree that you will never allow access by another person or entity at any time and to never access the account, profile, username, or password of another person or entity at any time.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,You maintain ownership of your content,"We do not claim any ownership rights in any text, files, images, photos, video, sounds, software, works of authorship, or other materials that you upload or otherwise provide to our Site (collectively, ""User Content"").
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cloudflare,You maintain ownership of your content,"You will retain ownership of your Content, however, any use of your Content by Cloudflare may be without any compensation paid to you.
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,Your account can be deleted without prior notice and without a reason,"terminate your access to any or all of the Site
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,Your content can be licensed to third parties,"However, you grant to Cisco a worldwide, royalty-free, sublicensable,
        
Website Terms of Use",Website Terms of Use,0,Terms of Service
Cisco,Your personal data may be disclosed to comply with government requests without notice to you,"We reserve the right to investigate and take appropriate action against anyone who, in Cisco's sole discretion, is suspected of violating any applicable law, including, without limitation, reporting you to law enforcement authorities.</p>

Website Terms of Use",Website Terms of Use,0,Terms of Service
Apple Services,"Spidering, crawling, or accessing the site through any automated means is not allowed","You may not use any ""deep-link"", ""page-scrape"", ""robot"", ""spider"" or other automatic device, program, algorithm or methodology, or any similar or equivalent manual process, to access, acquire, copy or monitor any portion of the Site or any Content,
        
Website Terms of Service",Website Terms of Service,0,Terms of Service
Apple Services,The court of law governing the terms is in location X,"You agree to the personal jurisdiction by and venue in the state and federal courts in Santa Clara County, California, and waive any objection to such jurisdiction or venue.
        
Website Terms of Service",Website Terms of Service,0,Terms of Service
Apple Services,They may stop providing the service at any time,"Apple reserves the right to do any of the following, at any time, without notice: (1) to modify, suspend or terminate operation of or access to the Site, or any portion of the Site, for any reason.
(2) to modify or change the Site, or any portion of the Site, and any applicable policies or terms.
and (3) to interrupt the operation of the Site, or any portion of the Site, as necessary to perform routine or non-routine maintenance, error correction, or other changes.</p>

Website Terms of Service",Website Terms of Service,0,Terms of Service
Apple Services,This service assumes no responsibility and liability for the contents of links to other websites,"This Site may contain links to other independent third-party Web sites (""Linked Sites"").
These Linked Sites are provided solely as a convenience to our visitors.
Such Linked Sites are not under Apple’s control, and Apple is not responsible for and does not endorse the content of such Linked Sites, including any information or materials contained on such Linked Sites.

        
Website Terms of Service",Website Terms of Service,0,Terms of Service
Apple Services,You agree to indemnify and hold the service harmless in case of a claim related to your use of the service,"You agree to indemnify and hold Apple, its officers, directors, shareholders, predecessors, successors in interest, employees, agents, subsidiaries and affiliates, harmless from any demands, loss, liability, claims or expenses (including attorneys’ fees), made against Apple by any third party due to or arising out of or in connection with your use of the Site.
        
Website Terms of Service",Website Terms of Service,0,Terms of Service
Apple Services,Your account can be suspended for several reasons,"You agree that Apple may, in its sole discretion and without prior notice, terminate your access to the Site and/or block your future access to the Site if we determine that you have violated these Terms of Use or other agreements or guidelines which may be associated with your use of the Site.
        
Website Terms of Service",Website Terms of Service,0,Terms of Service
ePlus Technology, You are being tracked via social media cookies/pixels,"Our websites use Social Media Plugins to enable you to easily share information with others.
When you visit our websites, the operator of the social media plugin that is on our website can place a cookie on your computer that lets that operator recognize individuals on their website who have previously visited our sites.

        
Website Privacy Statement",Website Privacy Statement,1,Privacy Policy
ePlus Technology,Blocking first party cookies may limit your ability to use the service,"If you reject cookies, functionality of the site may be limited, and you may not be able to take advantage of many of the site's features.
        
Website Privacy Statement",Website Privacy Statement,1,Privacy Policy
